Name,Setup,Recurring,Description,Category,Active
LA - Online Presence Package,$200.00,$221.99,,Listing,No
Online Presence Package Easy Start B,$1.00,110.99,"Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing Video Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,Yes
No Sale Online Presence Package,$29.99,99.99,,Listing,No
Limited Online Presence Package,$49.99,29.99,"2 keyword phrases 2-3 words each on the front page of Google plus a free website. (No video, no directories, no social package)",Listing,No
Online Presence Package Easy Start,$1.00,99.99,"Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,No
Restore Online Presence Package,$0.00,29.99,Restoration of online Presence Package,Listing,No
Online Presence Package customer Serice,$49.99,299.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video – photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online PresencePackage Setup,$0.00,99.99,,Listing,No
Online Presence Package Customer Service,$99.99,110.99,Online package,Listing,No
Online Presence Package Winback,$29.99,331.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video – photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online Presence Package,$29.99,331.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video – photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online PresencePackage Setup DELETED,$0.00,99.99,,Listing,No
Online Presence Package,$29.99,$149.99,"Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories)",Listing,No
Online Presence Package Winback,$29.99,299.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online Presence Package $75.00 Address Fee,$29.99,29.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online Presence Package B,$1.00,0.99,Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Complete online directory submission (submitted to over 100 directories),Listing,Yes
Online Presence Package A,$1.00,1,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Canada Online Presence Package,$49.99,199.99,,Listing,Yes
Australia - Online Presence Package,$49.99,$208.00,,Listing,No
Online Presence Package Nice Guys,$29.99,166.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online Presence Package,$149.99,331.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Online Presence Package +,$1.00,0.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Australia: Online Presence package,$72.99,$299.99,,Listing,Yes
Mexico: Online Presence Package,MXN999,"MXN3,999",,Listing,Yes
Amnesty Listing Easy Start B,$1.00,0.99,"Amnesty and restoration as Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,Yes
Amnesty Listing B,$1.00,0.99,"Amnesty and restoration as:
Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Complete online directory submission (submitted to over 100 directories).",Listing,Yes
Setup Yearly Listing,$658.99,0,,Listing,Yes
Winback Organic Listing,$1.00,99.99,"Same as the Organic Listing, its just going to be used for the Winback accounts",Website,No
LA Setup - Yearly Listing,$750.00,0,,Listing,Yes
Amnesty Listing Easy Start,$1.00,0,"Amnesty and restoration as Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,No
Organic Listing Easy Start,$1.00,0,"Organic listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account: 1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,No
Big City Listings,$29.99,199.99,"Local Listing (5 Keywords for local Listing on Google+Local)
Pro Marketing Website(many templates to choose from)
Marketing Video - photo slideshow with music (the video will be placed on wensite, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google=, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Winback Listing Easy Start,$1.00,19.99,"Winback Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,No
ZIP Code Listing Palcement,$32.99,32.99,"Name = ZIP Code deals Price = $29.99 Keywords = 5 Placement = Google Web placement for the ZIP code of the business' address (no Free Website, no Social Media, no Video)",Listing,Yes
ZIP Listing,$10.00,10,,Listing,No
Yearly Renewal - Listing,$109.99,0,Here's the SA's for yearly renewal. This agreement authorizes us to automatically charge the customers on a yearly basis. If you send SMS Please advise of auto renewal and not the account of clients agreeance,Listing,Yes
LA - Yearly Listing,$500.00,0,,Listing,Yes
Free Google Listing,$0.00,0,,Listing,No
Winback Listing Easy Start B,$1.00,22.99,"Winback Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Complete online directory submission (submitted to over 100 directories). Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,Yes
Amnesty Organic Listing,$1.00,0,"Amnesty and restoration as Organic listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories).",Listing,No
Amnesty Listing,$1.00,0,"Amnesty and restoration as Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories).",Listing,No
New/Winback Listings,$29.99,99.99,,Listing,No
Organic Listing,$99.99,$299.99,Organic Listing,Listing,Yes
Amnesty Organic Listing Easy Start,$1.00,0,"Amnesty and restoration as Organic listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories).Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,No
Winback Organic Listing Easy Start,$1.00,0,"Winback Organic listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites) Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter) Complete online directory submission (submitted to over 100 directories).Customer makes progressive payments on the account:1-3months customer pays 40% of the MRC, 4-6 months customer pays 70% of the MRC and 7 months and above customer pays 100% of the MRC.",Listing,No
Upgrades of Listings,$49.99,99.99,,,No
P1 Big City Listing - 12 Month Contract,$399.99,$0.00,Local listing (5 keywords for local listing on Google+ Local) Pro Marketing Website (many templates to choose from) Marketing video,,No
Metropolitan Listing B,$199.99,199.99,,Listing,No
Winback Listing 20.00 promo,$20.00,20,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Local Listing (City),$99.99,99.99,,Listing,No
Winback Listing B,$0.00,166.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Complete online directory submission (submitted to over 100 directories)",Listing,Yes
Directories Listings Submission,$109.99,55.99,"Listings in 100 directories, reviews. This can be used as a stand alone product, and for downsale.",Listing,Yes
Winback Listing,$29.99,149.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Local Listing (ZIP Code),$0.00,29.99,,Listing,No
Metropolitan Listing A,$299.99,299.99,"Up to 9 Months to fully optimize, offer to customers who specifically want to target cities that are on the restricted cities list/Metropolitan Listing A product sheet",Listing,No
Winback Listing,$0.00,149.99,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Additional City Listing,$29.99,49.99,"Offer to customers who specifically want to target cities that are different from the one included in their Online Presence Package
Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video - photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)",Listing,No
Reduction Offer A (Listing + Web Hosting + Domain Name Promise),$0.00,79.99,Verified Google Listing without optimization along with website hosting and domain name promise,Website,Yes
Metropolitan Listing A Setup Fee,$0.00,299.99,"Up to 9 Months to fully optimize, offer to customers who specifically want to target cities that are on the restricted cities list/Metropolitan Listing A product sheet",,No
Metropolitan Listing A Monthly Fee,$0.00,299.99,,,No
Metropolitan Listing B Setup Fee,$0.00,299.99,,Listing,No
Additional City Listing Setup Fee,$0.00,99.99,"Up to 90 days to optimize, offer to customers who specifically want to target cities that are different the one included in their Online Presence Package",Listing,No
Additional City Listing,$0.00,99.99,"Up to 90 days to optimize, offer to customers who specifically want to target cities that are different the one included in their Online Presence Package",Listing,No
Metropolitan Listing B Monthly Fee,$0.00,299.99,,,No
P1 Big City Listing - No Contract,$499.99,0,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video – photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
P1 Big City Listing - 12 Month Contract,$399.99,0,"Local listing (5 keywords for local listing on Google+ Local)
Pro Marketing Website (many templates to choose from)
Marketing video – photo slideshow with music (the video will be placed on website, also submitted to YouTube and 4 other video sites)
Social Media Exposure (Creation of accounts on Google +, Facebook, and Twitter)
Complete online directory submission (submitted to over 100 directories)",Listing,No
Metropolitan Listing A Setup Fee DELETED,$0.00,299.99,"Up to 9 Months to fully optimize, offer to customers who specifically want to target cities that are on the restricted cities list/Metropolitan Listing A product sheet",Listing,No
Additional City Listing Setup Fee DELETED,$0.00,99.99,"Up to 90 days to optimize, offer to customers who specifically want to target cities that are different the one included in their Online Presence Package",Listing,No
Metropolitan Listing B Setup Fee DELETED,$0.00,299.99,,,No
Winback Listing Australia,$72.99,$299.99,,Listing,Yes
Amnesty Listing Australia,$72.99,$299.99,,Listing,Yes
Winback Listing Mexico,MXN999,"MXN3,999",,Listing,Yes
Amnesty Listing Mexico,MXN999,"MXN3,999",,Listing,Yes